subject_id,session_id,scan_id
001,1,ASDX_001_1_141282
001,2,ASDX_001_2_141282
002,1,ASDX_002_1_141282
002,2,ASDX_002_2_141282
003,1,ASDX_003_1_141282
003,2,ASDX_003_2_141282
004,1,ASDX_004_1_141282
004,2,ASDX_004_2_141282
005,1,ASDX_005_1_141282
005,2,ASDX_005_2_141282
006,1,ASDX_006_1_141282
006,2,ASDX_006_2_141282
007,1,ASDX_007_1_141282
008,1,ASDX_008_1_141282
008,2,ASDX_008_2_141282
009,1,ASDX_009_1_141282
009,2,ASDX_009_2_141282
010,1,ASDX_010_1_141282
010,2,ASDX_010_2_141282
011,1,ASDX_011_1_141282
011,2,ASDX_011_2_141282
012,1,ASDX_012_1_141282
012,2,ASDX_012_2_141282
013,1,ASDX_013_1_141282
015,1,ASDX_015_1_141282
015,2,ASDX_015_2_141282
016,1,ASDX_016_1_141282
016,2,ASDX_016_2_141282
017,1,ASDX_017_1_141282
017,2,ASDX_017_2_141282
018,1,ASDX_018_1_141282
020,1,ASDX_020_1_141282
